X,Graphic Profile 1
0,26.1193
0.00027732,26.2304
0.000554639,25.9511
0.000831959,24.5087
0.001109279,24.2506
0.001386599,24.665
0.001663918,24.0168
0.001941238,23.7023
0.002218558,24.5592
0.002495878,25.8993
0.002773197,28.0698
0.003050517,29.8872
0.003327837,30.9553
0.003605157,31.1688
0.003882476,32.9985
0.004159796,36.3324
0.004437116,37.1321
0.004714436,33.2399
0.004991755,30.5626
0.005269075,31.511
0.005546395,32.776
0.005823715,32.864
0.006101034,30.896
0.006378354,29.9668
0.006655674,29.5684
0.006932993,31.4949
0.007210313,32.9024
0.007487633,33.1698
0.007764953,34.0761
0.008042272,35.2081
0.008319592,36.5325
0.008596912,37.564
0.008874232,38.5301
0.009151551,39.9173
0.009428871,41.004
0.009706191,41.6162
0.009983511,41.6868
0.01026083,42.385
0.01053815,43.6766
0.01081547,42.4913
0.01109279,40.3745
0.011370109,39.9063
0.011647429,41.1044
0.011924749,41.8637
0.012202069,42.6145
0.012479388,42.2354
0.012756708,41
0.013034028,40.4963
0.013311347,40.5234
0.013588667,39.7857
0.013865987,38.4076
0.014143307,38.3036
0.014420626,39.7395
0.014697946,40.7003
0.014975266,41.1197
0.015252586,41.2308
0.015529905,40.503
0.015807225,40.0202
0.016084545,40.8638
0.016361865,42.3627
0.016639184,44.5295
0.016916504,44.703
0.017193824,44.0188
0.017471144,42.9965
0.017748463,43
0.018025783,42.205
0.018303103,40.7153
0.018580423,38.2155
0.018857742,34.7676
0.019135062,31.2212
0.019412382,30.9349
0.019689701,32.3326
0.019967021,33.6165
0.020244341,34.711
0.020521661,36.3041
0.02079898,36.8492
0.0210763,36.4866
0.02135362,37.677
0.02163094,38.5131
0.021908259,40.0965
0.022185579,40.967
0.022462899,39.0874
0.022740219,37.1488
0.023017538,36.3171
0.023294858,36.4533
0.023572178,36.5644
0.023849498,36.0785
0.024126817,36.3537
0.024404137,35.9673
0.024681457,35.208
0.024958777,33.5861
0.025236096,32.3106
0.025513416,33.019
0.025790736,32.9358
0.026068055,33.0043
0.026345375,33.9061
0.026622695,34.7867
0.026900015,34.8978
0.027177334,33.5355
0.027454654,33
0.027731974,32.8431
0.028009294,31.643
