X,Graphic Profile 1
0.011977185,13.625
0.012018203,13.5946
0.01205922,13.5461
0.012100238,13.4911
0.012141256,13.5324
0.012182274,13.5627
0.012223291,13.5753
0.012264309,13.6307
0.012305327,13.5865
0.012346345,13.5715
0.012387362,13.6412
0.01242838,13.6685
0.012469398,13.6515
0.012510416,13.6185
0.012551433,13.5953
0.012592451,13.6345
0.012633469,13.6829
0.012674487,13.6708
0.012715504,13.6073
0.012756522,13.6431
0.01279754,13.7427
0.012838558,13.8418
0.012879575,13.8855
0.012920593,14.0383
0.012961611,14.1039
0.013002629,14.0579
0.013043646,14.0414
0.013084664,14.0256
0.013125682,13.9124
0.0131667,13.8771
0.013207717,13.915
0.013248735,13.894
0.013289753,13.8706
0.013330771,13.8303
0.013371788,13.8625
0.013412806,13.9594
0.013453824,14.0164
0.013494842,14.0263
0.013535859,14.0597
0.013576877,14.1016
0.013617895,14.1895
0.013658913,14.3505
0.013699931,14.4288
0.013740948,14.2592
0.013781966,14.1509
0.013822984,14.2323
0.013864002,14.2898
0.013905019,14.2926
0.013946037,14.3198
0.013987055,14.3837
0.014028073,14.3853
0.01406909,14.3559
0.014110108,14.3711
0.014151126,14.3738
0.014192144,14.3504
0.014233161,14.3427
0.014274179,14.3606
0.014315197,14.352
0.014356215,14.327
0.014397232,14.2958
0.01443825,14.2501
0.014479268,14.2467
0.014520286,14.2445
0.014561303,14.2217
0.014602321,14.2242
0.014643339,14.2182
0.014684357,14.2022
0.014725374,14.2061
0.014766392,14.1576
0.01480741,14.0009
0.014848428,13.8841
0.014889445,13.8212
0.014930463,13.7564
0.014971481,13.6779
0.015012499,13.6316
0.015053516,13.5767
0.015094534,13.5026
0.015135552,13.4386
0.01517657,13.3318
0.015217587,13.2306
0.015258605,13.0658
0.015299623,12.9107
0.015340641,12.8338
0.015381659,12.7633
0.015422676,12.7075
0.015463694,12.6689
0.015504712,12.652
0.01554573,12.6395
0.015586747,12.5702
0.015627765,12.5221
0.015668783,12.54
0.015709801,12.5691
0.015750818,12.6286
0.015791836,12.7153
0.015832854,12.7401
0.015873872,12.7279
0.015914889,12.7702
0.015955907,12.841
0.015996925,12.863
0.016037943,12.8221
0.01607896,12.8062
0.016119978,12.8344
0.016160996,12.8188
0.016202014,12.7697
0.016243031,12.7245
0.016284049,12.6963
0.016325067,12.678
0.016366085,12.6744
0.016407102,12.6731
0.01644812,12.6449
0.016489138,12.6328
0.016530156,12.6469
0.016571173,12.6485
0.016612191,12.6621
0.016653209,12.6771
0.016694227,12.6921
0.016735244,12.6949
0.016776262,12.6951
0.01681728,12.6978
0.016858298,12.6995
0.016899315,12.7139
0.016940333,12.7139
0.016981351,12.7097
0.017022369,12.7094
0.017063387,12.6908
0.017104404,12.6529
0.017145422,12.6012
0.01718644,12.5473
0.017227458,12.4871
0.017268475,12.4134
0.017309493,12.3721
0.017350511,12.3541
0.017391529,12.2429
0.017432546,12.2033
0.017473564,12.2968
0.017514582,12.3656
0.0175556,12.4176
0.017596617,12.4684
0.017637635,12.4958
0.017678653,12.5139
0.017719671,12.5308
0.017760688,12.5435
0.017801706,12.5479
0.017842724,12.5349
0.017883742,12.5215
0.017924759,12.5316
0.017965777,12.5641
0.018006795,12.5956
0.018047813,12.6374
0.01808883,12.6617
0.018129848,12.6725
0.018170866,12.6806
0.018211884,12.671
0.018252901,12.6858
0.018293919,12.7266
0.018334937,12.7666
0.018375955,12.8139
0.018416972,12.8463
0.01845799,12.8254
0.018499008,12.776
0.018540026,12.7331
0.018581043,12.7335
0.018622061,12.7223
0.018663079,12.7045
0.018704097,12.6799
0.018745114,12.6388
0.018786132,12.6566
0.01882715,12.6639
0.018868168,12.6112
0.018909186,12.573
0.018950203,12.5235
0.018991221,12.4264
0.019032239,12.3755
0.019073257,12.3398
0.019114274,12.3028
0.019155292,12.2913
0.01919631,12.2806
0.019237328,12.2578
0.019278345,12.2705
0.019319363,12.2746
0.019360381,12.2152
0.019401399,12.1977
0.019442416,12.1759
0.019483434,12.0828
0.019524452,12.027
0.01956547,12.0143
0.019606487,11.9881
0.019647505,11.9317
0.019688523,11.8358
0.019729541,11.8087
0.019770558,11.7644
0.019811576,11.6989
0.019852594,11.652
0.019893612,11.5953
0.019934629,11.5878
0.019975647,11.5487
0.020016665,11.4587
0.020057683,11.3514
0.0200987,11.2891
0.020139718,11.3565
0.020180736,11.4258
0.020221754,11.4199
0.020262771,11.3683
0.020303789,11.3967
0.020344807,11.4362
0.020385825,11.4052
0.020426842,11.3784
0.02046786,11.3583
0.020508878,11.4199
0.020549896,11.4614
0.020590914,11.4506
0.020631931,11.4852
0.020672949,11.53
0.020713967,11.5664
0.020754985,11.5991
0.020796002,11.6207
0.02083702,11.6406
0.020878038,11.6364
0.020919056,11.6761
0.020960073,11.7367
0.021001091,11.7699
0.021042109,11.8267
0.021083127,11.8968
0.021124144,11.9674
0.021165162,12.0245
0.02120618,12.0965
0.021247198,12.1867
0.021288215,12.1992
0.021329233,12.1833
0.021370251,12.2052
0.021411269,12.213
0.021452286,12.2165
0.021493304,12.2091
0.021534322,12.1908
0.02157534,12.2008
0.021616357,12.2616
0.021657375,12.3075
0.021698393,12.2928
0.021739411,12.284
0.021780428,12.3155
0.021821446,12.3401
0.021862464,12.3426
0.021903482,12.2973
0.021944499,12.3354
0.021985517,12.423
0.022026535,12.407
0.022067553,12.3709
0.02210857,12.3456
0.022149588,12.2781
0.022190606,12.2423
0.022231624,12.2597
0.022272642,12.21
0.022313659,12.2135
0.022354677,12.2344
0.022395695,12.197
0.022436713,12.1742
0.02247773,12.0505
0.022518748,12.0359
0.022559766,12.1774
0.022600784,12.2429
0.022641801,12.1364
0.022682819,12.0098
0.022723837,12.0076
0.022764855,11.9988
0.022805872,11.992
0.02284689,11.9878
0.022887908,11.9751
0.022928926,11.948
0.022969943,11.8999
0.023010961,11.8611
0.023051979,11.7977
0.023092997,11.6946
0.023134014,11.5862
0.023175032,11.5036
0.02321605,11.4016
0.023257068,11.2864
0.023298085,11.2218
0.023339103,11.1735
0.023380121,11.0671
0.023421139,10.9156
0.023462156,10.542
0.023503174,10.1046
0.023544192,10.0263
0.02358521,10.0606
0.023626227,10.2928
0.023667245,10.7019
0.023708263,10.8615
0.023749281,10.8293
0.023790298,10.7405
0.023831316,10.7167
0.023872334,10.7556
0.023913352,10.7724
0.02395437,10.7821
0.023995387,10.7964
0.024036405,10.8196
0.024077423,10.8466
0.024118441,10.8863
0.024159458,10.9419
0.024200476,10.9988
0.024241494,11.0425
0.024282512,11.0746
0.024323529,11.1159
0.024364547,11.1682
0.024405565,11.2292
0.024446583,11.2977
0.0244876,11.3606
0.024528618,11.4105
0.024569636,11.4537
0.024610654,11.4935
0.024651671,11.5347
0.024692689,11.5758
0.024733707,11.618
0.024774725,11.6496
0.024815742,11.6501
0.02485676,11.6374
0.024897778,11.6302
0.024938796,11.6315
0.024979813,11.6486
0.025020831,11.6645
0.025061849,11.6671
0.025102867,11.6696
0.025143884,11.6709
0.025184902,11.672
0.02522592,11.6767
0.025266938,11.689
0.025307955,11.7029
0.025348973,11.7249
0.025389991,11.7483
0.025431009,11.7739
0.025472026,11.8048
0.025513044,11.8101
0.025554062,11.7922
0.02559508,11.8065
0.025636098,11.8696
0.025677115,11.9279
0.025718133,11.9317
0.025759151,11.8968
0.025800169,11.8792
0.025841186,11.892
0.025882204,11.9027
0.025923222,11.8833
0.02596424,11.8314
0.026005257,11.7842
0.026046275,11.4303
0.026087293,11.2181
0.026128311,11.5179
0.026169328,11.6987
0.026210346,11.7541
0.026251364,11.8065
0.026292382,11.9092
0.026333399,12.0371
0.026374417,12.1085
0.026415435,12.2054
0.026456453,12.3023
0.02649747,12.3102
0.026538488,12.2979
0.026579506,12.2556
0.026620524,12.1808
0.026661541,12.1019
0.026702559,11.9968
0.026743577,11.8798
0.026784595,11.8036
0.026825612,11.7997
0.02686663,11.8274
0.026907648,11.8433
0.026948666,11.8839
0.026989683,11.8934
0.027030701,11.8754
0.027071719,11.8622
0.027112737,11.8456
0.027153754,11.8324
0.027194772,11.8361
0.02723579,11.8328
0.027276808,11.8232
0.027317826,11.8066
0.027358843,11.7469
0.027399861,11.8192
0.027440879,11.9249
0.027481897,11.9848
0.027522914,11.7532
0.027563932,11.2477
0.02760495,11.5904
0.027645968,12.1684
0.027686985,12.2122
0.027728003,12.2702
0.027769021,12.2674
0.027810039,12.2004
0.027851056,12.1532
0.027892074,12.1183
0.027933092,12.063
0.02797411,12.0493
0.028015127,12.0667
0.028056145,12.0647
0.028097163,12.0266
0.028138181,11.94
0.028179198,11.8833
0.028220216,11.8574
0.028261234,11.8727
0.028302252,11.925
0.028343269,11.9185
0.028384287,11.8666
0.028425305,11.7892
0.028466323,11.7071
0.02850734,11.6215
0.028548358,11.5784
0.028589376,11.6057
0.028630394,11.6689
0.028671411,11.6797
0.028712429,11.6309
0.028753447,11.6257
0.028794465,11.6172
0.028835482,11.5875
0.0288765,11.5686
0.028917518,11.5832
0.028958536,11.5936
0.028999554,11.6321
0.029040571,11.7103
0.029081589,11.7626
0.029122607,11.846
0.029163625,11.9126
0.029204642,11.9037
0.02924566,11.994
0.029286678,12.1245
0.029327696,12.1568
0.029368713,12.2265
0.029409731,12.3242
0.029450749,12.3655
0.029491767,12.2601
0.029532784,12.19
0.029573802,12.2598
0.02961482,12.4318
0.029655838,12.6483
0.029696855,12.7307
0.029737873,12.7628
0.029778891,12.8014
0.029819909,12.8176
0.029860926,12.8536
0.029901944,12.8602
0.029942962,12.8057
0.02998398,12.7581
0.030024997,12.7327
0.030066015,12.7034
0.030107033,12.6779
0.030148051,12.642
0.030189068,12.6338
0.030230086,12.6683
0.030271104,12.6094
0.030312122,12.5059
0.030353139,12.4612
0.030394157,12.4189
0.030435175,12.3468
0.030476193,12.2612
0.03051721,12.2053
0.030558228,12.2153
0.030599246,12.2372
0.030640264,12.2588
0.030681282,12.2903
0.030722299,12.2986
0.030763317,12.2087
0.030804335,12.2924
0.030845353,12.5115
0.03088637,12.3663
0.030927388,12.2581
