OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
9553,0,0,79,13.9319973,3765159.25,748191.3615,234,13.9319973
9554,0,0,80,14.0921555,3765156.42,748192.3567,237,14.09215546
9555,0,0,81,14.009551,3765153.59,748193.3519,240,14.00955105
9556,0,0,82,13.8728991,3765150.76,748194.3471,243,13.87289906
9557,0,0,83,13.8728991,3765147.93,748195.3423,246,13.87289906
9558,0,0,84,13.7833834,3765145.1,748196.3375,249,13.78338337
9559,0,0,85,13.7148676,3765142.27,748197.3329,252,13.71486759
9560,0,0,86,13.6838331,3765139.44,748198.3279,255,13.68383312
9561,0,0,87,13.5005283,3765136.61,748199.3233,258,13.50052834
9562,0,0,88,13.4846172,3765133.779,748200.3185,261,13.48461723
9563,0,0,89,13.4745684,3765130.95,748201.3137,264,13.47456837
9564,0,0,90,13.2802944,3765128.119,748202.3089,267,13.28029442
9565,0,0,91,13.2802944,3765125.289,748203.3041,270,13.28029442
9566,0,0,92,13.2958813,3765122.459,748204.2993,273,13.29588127
9567,0,0,93,13.3721237,3765119.629,748205.2945,276,13.37212372
9568,0,0,94,13.3042583,3765116.799,748206.2897,279,13.30425835
9569,0,0,95,13.3211775,3765113.969,748207.2849,282,13.32117748
9570,0,0,96,13.3423252,3765111.139,748208.2801,285,13.34232521
9571,0,0,97,13.4296951,3765108.308,748209.2753,288,13.42969513
9572,0,0,98,13.4296951,3765105.478,748210.2707,291,13.42969513
9573,0,0,99,13.3309689,3765102.648,748211.2657,294,13.33096886
9574,0,0,100,13.4424639,3765099.818,748212.2611,297,13.44246387
9575,0,0,101,13.4306383,3765096.988,748213.2563,300,13.43063831
9576,0,0,102,13.3899717,3765094.158,748214.2515,303,13.38997173
9577,0,0,103,13.4045591,3765091.328,748215.2467,306,13.40455914
9578,0,0,104,13.3482218,3765088.498,748216.2419,309,13.34822178
9579,0,0,105,13.4139566,3765085.667,748217.2371,312,13.41395664
9580,0,0,106,13.318614,3765082.838,748218.2323,315,13.31861401
9581,0,0,107,13.3081646,3765080.007,748219.2275,318,13.3081646
9582,0,0,108,13.3081646,3765077.177,748220.2227,321,13.3081646
9583,0,0,109,13.3350067,3765074.347,748221.2179,324,13.33500671
9584,0,0,110,13.3198404,3765071.517,748222.2131,327,13.31984043
9585,0,0,111,13.3044891,3765068.687,748223.2083,330,13.30448914
9586,0,0,112,13.260829,3765065.857,748224.2037,333,13.26082897
9587,0,0,113,13.2121859,3765063.027,748225.1989,336,13.21218586
9588,0,0,114,13.1479053,3765060.196,748226.1941,339,13.14790535
9589,0,0,115,13.2064142,3765057.367,748227.1893,342,13.20641422
9590,0,0,116,13.2181511,3765054.536,748228.1845,345,13.21815109
9591,0,0,117,13.2181511,3765051.706,748229.1797,348,13.21815109
9592,0,0,118,13.1756468,3765048.876,748230.1749,351,13.17564678
9593,0,0,119,13.1527185,3765046.046,748231.1701,354,13.15271854
9594,0,0,120,13.1408501,3765043.216,748232.1653,357,13.14085007
9595,0,0,121,13.3260937,3765040.386,748233.1605,360,13.32609367
9596,0,0,122,13.3986111,3765037.556,748234.1557,363,13.39861107
9597,0,0,123,13.1055088,3765034.726,748235.1509,366,13.1055088
9598,0,0,124,13.016531,3765031.896,748236.1461,369,13.01653099
9599,0,0,125,13.016531,3765029.065,748237.1415,372,13.01653099
9600,0,0,126,13.1036587,3765026.235,748238.1365,375,13.10365868
9601,0,0,127,13.1548119,3765023.405,748239.1319,378,13.15481186
9602,0,0,128,13.064414,3765020.575,748240.1271,381,13.06441402
9603,0,0,129,13.0248623,3765017.745,748241.1223,384,13.02486229
9604,0,0,130,13.0650539,3765014.915,748242.1175,387,13.06505394
9605,0,0,131,13.1027308,3765012.085,748243.1127,390,13.10273075
9606,0,0,132,13.0453548,3765009.255,748244.1079,393,13.04535484
9607,0,0,133,13.1422081,3765006.424,748245.1031,396,13.1422081
9608,0,0,134,13.1422081,3765003.594,748246.0983,399,13.1422081
9609,0,0,135,13.0851955,3765000.764,748247.0935,402,13.08519554
9610,0,0,136,13.059123,3764997.934,748248.0887,405,13.05912304
9611,0,0,137,13.0519733,3764995.104,748249.0839,408,13.05197334
9612,0,0,138,13.0833168,3764992.274,748250.0791,411,13.0833168
9613,0,0,139,13.0833168,3764989.444,748251.0743,414,13.0833168
9614,0,0,140,13.1470852,3764986.614,748252.0697,417,13.14708519
9615,0,0,141,13.0922318,3764983.784,748253.0649,420,13.09223175
9616,0,0,142,13.0828886,3764980.953,748254.0601,423,13.0828886
